"filename", "language", "JavaScript", "Less", "JSON", "SCSS", "CSS", "HTML", "Ruby", "Markdown", "XML", "Properties", "comment", "blank", "total"
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\css\index.css", "CSS", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 15, 125
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\css\style.css", "CSS", 0, 0, 0, 0, 8375, 0, 0, 0, 0, 0, 8, 1202, 9585
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\css\style.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 1, 7
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\css\tailwind.output.css", "CSS", 0, 0, 0, 0, 1737, 0, 0, 0, 0, 0, 1, 415, 2153
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\js\init-alpine.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 67
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\js\main.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 105
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\lib\easing\easing.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 169
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\lib\easing\easing.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\lib\owlcarousel\assets\owl.carousel.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\lib\owlcarousel\owl.carousel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\lib\owlcarousel\owl.carousel.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 7
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\mail\contact.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 66
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\mail\jqBootstrapValidation.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\Profile\AccountInfo.html", "HTML", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 6, 2, 125
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\UserRoute.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\account\changePassword.html", "HTML", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 6, 77
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\account\login.html", "HTML", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 12, 112
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\account\register-form.html", "HTML", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 1, 11, 187
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\address\addressTable.html", "HTML", 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 4, 2, 223
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\banner.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\cart\Cart.html", "HTML", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 4, 3, 134
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\cart\buy-cod-success.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\ctrl\ChangePassword-ctrl.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 93
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\ctrl\address-form-ctrl.js", "JavaScript", 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 23, 332
"d:\do_an_duong\PlaceUp\BE_DuAn\src\main\resources\static\user\ctrl\buy-code-success-ctrl.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 115
